名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
人马木乃伊,TftYP,231,大型,亡灵,守序 邪恶,13 (天生护甲),85 (10d10 + 30),30 尺,20,12,16,5,14,12,Wis +5,,火焰,"钝击, 穿刺, 和 挥砍 来自非魔法攻击","暗蚀, 毒素","中毒, 力竭, 恐慌, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 12","通用语, 木族语","6 (XP 2,300; PB +3)",冲锋 Charge. 如果半人马木乃伊在同一回合内至少直向目标移动20尺，然后使用长矛攻击击中目标，目标将额外受到10点（3d6）点穿刺伤害。,"多重攻击 Multiattack. 半人马木乃伊进行两次近战攻击，一次用其长矛，一次用其蹄子，或者它用长矛攻击并使用可怕的凝视。

长矛 Pike. 近战武器攻击: 命中+8，触及10尺，单一目标。命中: 10（1d10 + 5）点穿刺伤害。

蹄击 Hooves. 近战武器攻击: 命中+8，触及5尺，单一目标。命中: 12（2d6 + 5）点穿刺伤害加上10（3d6）暗蚀伤害。如果目标是一个生物，它必须成功通过一个DC 14体质豁免检定，否则会被木乃伊腐烂诅咒。被诅咒的目标不能恢复生命值，并且它的生命值最大值每过24小时减少10（3d6）。如果诅咒将目标的生命值最大值减少到0，目标死亡，其身体化为尘土。诅咒持续存在，直到通过移除诅咒法术或类似的魔法被解除。

恐怖怒视 Dreadful Glare. 木乃伊半人马目标为它能看到的60尺内的一个生物。如果目标能看到木乃伊，目标必须成功通过一个DC 12感知豁免检定以抵抗这种魔法，否则直到木乃伊下一个回合结束时都会恐慌。如果目标的豁免检定失败5点或更多，它也会在同样时间内麻痹。成功通过豁免检定的目标在接下来的24小时内对所有木乃伊（但不包括木乃伊领主）的可怕凝视免疫。",,,,,,,,
人马骠骑,MM'25,67,大型,妖精,中立 善良,16,45 (6d10 + 12),50 尺,18,14,14,9,13,11,,"运动 +6, 察觉 +3",,,,,被动察觉 13,"精灵语, 木族语",2 (XP 450; PB +2),,"多重攻击 Multiattack. 人马使用长枪或长弓发动共计两次攻击。

长矛 Pike. 近战攻击检定: ： +6，触及 10 尺。命中: ： 9（ 1d10 + 4 ）穿刺伤害。

长弓 Longbow. 远程攻击检定: ： +4，射程 150 / 600 尺。命中: ： 6（1d8 + 2）穿刺伤害。",践踏冲锋 (充能 5–6) Trampling Charge. 人马移动至多等于其速度的距离且不会引发借机攻击，并且可以移动穿过中型或小型生物所处的空间。所处空间被人马进入的每名生物都会被选为一次以下效应的目标。力量 豁免检定: ： DC 14。失败: ： 7（ 1d6 + 4 ）钝击伤害，且目标陷入倒地状态。,,,,,,"位面, 妖精荒野, 森林, 草地","个体, 武备"
伊特怪,MM'25,115,中型,怪兽,中立 邪恶,13,44 (8d8 + 8),"30 尺, 攀爬 30 尺",14,15,13,7,12,8,,"察觉 +3, 隐匿 +4, 生存 +3",,,,,"黑暗视觉 60 尺, 被动察觉 13",—,2 (XP 450; PB +2),"蛛网行者 Web Walker. 伊特怪在蛛网上移动时无视蛛网造成的移动限制，且与蛛网接触期间，伊特怪可以知道其他与该蛛网接触生物的准确位置。

蛛行术 Spider Climb. 伊特怪可以在难以攀爬的表面上攀爬，包括沿着天花板移动，且不需要为此进行属性检定。","多重攻击 Multiattack. 伊特怪发动一次啃咬攻击和一次爪击攻击。

啃咬 Bite. 近战攻击检定: +4，触及 5 尺。命中: 5（1d6 + 2）穿刺伤害外加2（1d4）毒素伤害，且目标陷入中毒状态，持续至伊特怪的下个回合开始。

爪击 Claw. 近战攻击检定: +4，触及 5 尺。命中: 7（2d4 + 2）挥砍伤害。

绞网(充能 5–6) Web Strand. 敏捷 豁免检定: DC 12，30 尺内伊特怪可见的不超过大型的生物。失败: 目标陷入束缚状态，持续至蛛网被摧毁（AC10；HP5；易伤火焰伤害；免疫钝击、毒素、心灵伤害）。",拖拽 Reel. 伊特怪将 30 尺内因其绞网动作陷入束缚的一名生物向直线拉近至多 25 尺。,,,,,,森林,器具
伏行夜影,MPMM,194,巨型,亡灵,混乱 邪恶,14,337 (25d12 + 175),"40 尺, 飞行 40 尺",22,19,24,6,9,8,Con +13,,,"强酸, 寒冷, 火焰, 闪电, 雷鸣; 钝击, 穿刺, 和 挥砍 来自非魔法攻击","暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 恐慌, 束缚, 石化, 麻痹","黑暗视觉 120 尺, 被动察觉 9",—,"20 (XP 25,000; PB +6)","湮灭灵光 Annihilating Aura. 任何在伏行夜影周围30尺范围内开始回合的生物必须通过一个DC 21的体质豁免，否则受到21（6d6）暗蚀伤害。亡灵免疫此灵光。

生命噬者 Life Eater. 一个因伏行夜影造成的伤害而降至0生命值的生物死亡，并且其无法被弱于祈愿术法术的方式复活。

非凡本质 Unusual Nature. 伏行夜影不需要空气、食物、饮水或睡眠。","多重攻击 Multiattack. 伏行夜影使用两次衰弱之力攻击，其中一次可以替换为厄运一指，若可用。

衰弱之力 Enervating Focus. 近战武器攻击: 命中+12，触及15尺，单一目标。命中: 28（5d8 + 6）暗蚀伤害。目标必须成功通过DC 21的体质豁免，否则其生命值上限下降等同造成的暗蚀伤害量。该减值持续直到目标完成一次长休。若以此法将目标生命值上限降低至0，则目标死亡。

厄运一指 (充能 6) Finger of Doom. 伏行夜影标记一个300尺内其可见的生物。目标必须成功通过一次DC 21的感知豁免，否则受到39（6d12）暗蚀伤害并且陷入恐慌直到伏行夜影的下一个回合结束。因此而恐慌的生物同时会陷入麻痹。如果一个生物豁免成功，其在接下来的24小时免疫伏行夜影的厄运一指。",,,,,,,"幽暗地域, 极地, 沼泽, 荒漠",
伪龙,MM'25,249,微型,龙,中立 善良,14,10 (3d4 + 3),"15 尺, 飞行 60 尺",6,15,13,10,12,10,,"察觉 +5, 隐匿 +4",,,,,"盲视 10 尺, 黑暗视觉 60 尺, 被动察觉 15",能理解通用语和龙语，但不能说话,1/4 (XP 50; PB +2),魔法抗性 Magic Resistance. 伪龙对抗法术和其他魔法效应时进行的豁免检定具有优势优势。,"多重攻击 Multiattack. 伪龙发动两次啃咬攻击。

啃咬 Bite. 近战攻击检定: +4，触及5尺。命中: 4（1d4 + 2）穿刺伤害。

钉刺 Sting. 体质 豁免检定: DC 12，单一5尺内伪龙可见的生物。失败: 5（2d4）毒素伤害，且目标陷入中毒状态，持续1小时。中毒期间，目标还会陷入昏迷状态，昏迷在其受到伤害或被目标5尺内的另一生物用一个动作摇醒时提前结束。",,,,,,,"丘陵, 城市, 山地, 森林, 海岸, 荒漠",奥秘
伶盗龙,MPMM,96,微型,野兽 (恐龙),无阵营,13 (天生护甲),10 (3d4 + 3),30 尺,6,14,13,4,12,6,,察觉 +3,,,,,被动察觉 13,—,1/4 (XP 50; PB +2),集群战术 Pack Tactics. 如果伶盗龙攻击的目标周围5尺范围内有至少一个伶盗龙的未失能盟友，则伶盗龙对该生物发起的攻击具有优势。,"多重攻击 Multiattack. 伶盗龙进行一次啃咬攻击与一次爪抓攻击。

啃咬 Bite. 近战武器攻击: 命中+4，触及5尺，单一生物。命中: 5 (1d6 + 2) 点穿刺伤害。

爪击 Claw. 近战武器攻击: 命中+4，触及5尺，单一目标。命中: 4（1d4 + 2）点挥砍伤害。",,,,,,,"森林, 草地",
低阶木乃伊领主,TftYP,224,中型,亡灵,守序 邪恶,17 (天生护甲),97 (13d8 + 39),20 尺,18,10,17,11,18,16,"Con +8, Int +5, Wis +9, Cha +8","历史 +5, 宗教 +5",,火焰,"暗蚀, 毒素; 钝击, 穿刺, 和 挥砍 来自非魔法攻击","中毒, 力竭, 恐慌, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 14",它生前所知的语言,"15 (XP 6,500; PB +5)","复生 Rejuvenation. 木乃伊领主身体被破坏后，如果它的心脏完好无损，则它将在24小时后获得一个新的身体。新身体出现在心脏周边5尺范围内，其恢复所有的生命值并处于激活状态。

特殊装备 Special Equipment. 木乃伊佩戴着一枚火焰抗性戒指。

魔法抗性 Magic Resistance. 木乃伊领主为抵抗法术和其它魔法效应而作的豁免检定具有优势。","多重攻击 Multiattack. 木乃伊可以先使用恐怖凝视然后再用腐朽拳击进行攻击。

腐朽拳击 Rotting Fist. 近战武器攻击: 命中+9，触及5尺，单一目标。命中: 14 (3d6 + 4) 点钝击伤害加上21 (6d6) 点暗蚀伤害。如果目标是生物，则目标必须成功通过一次DC 16的体质豁免，否则将承受木乃伊的腐烂诅咒。被诅咒目标不能恢复生命值，且该诅咒每持续24小时其生命值上限将降低10（3d6）。如果诅咒使目标的生命值上限降至0，则该目标死亡，且其尸体化作尘土。该诅咒效应持续直至被法术移除移除诅咒或其他魔法移除。

恐怖怒视 Dreadful Glare. 木乃伊领主指定自身60尺范围内一个它能看见的生物。如果目标生物可以看到木乃伊，则该生物必须成功通过一次DC 16的感知豁免以抵抗该魔法，豁免失败则目标生物受恐慌，其效应持续至该木乃伊的下一个回合结束。若目标生物豁免失败且差值为5或更高，则目标生物同时陷入麻痹。豁免成功的生物在接下来的24小时免疫所有木乃伊及所有木乃伊领主的恐怖凝视。",,,,,,,,
侍祭僧侣,MM'25,247,小型 或 中型,类人 (牧师),中立,13,11 (2d8 + 2),30 尺,14,10,12,10,14,11,,"医药 +4, 宗教 +2",,,,,被动察觉 12,通用语,1/4 (XP 50; PB +2),,"硬头锤 Mace. 近战攻击检定: +4，触及5尺。命中: 5（1d6 + 2）钝击伤害外加2（1d4）光耀伤害。

光焰 Radiant Flame. 远程攻击检定: +4，射程60尺。命中: 7（2d6）光耀伤害。

施法. 祭司施展以下一道法术，使用感知作为施法属性：

随意: 光亮术, 奇术",至圣援护（1/日）. 侍祭僧侣施展祝福术、治愈真言或庇护术，使用与施法动作相同的施法属性。,,,,,,任何,"个体, 圣物"
元初天劫,MM'25,111,超巨型,元素 (泰坦),混乱 中立,20,370 (20d20 + 160),"60 尺, 掘穴 60 尺, 飞行 80 尺 (悬浮), 游泳 80 尺",26,19,27,9,14,9,"Dex +11, Con +15, Wis +9, Cha +6",,,,"强酸, 寒冷, 火焰, 闪电, 毒素, 雷鸣","中毒, 倒地, 力竭, 受擒, 恐慌, 昏迷, 束缚, 目盲, 石化, 耳聋, 震慑, 魅惑, 麻痹","真实视觉 150 尺, 被动察觉 12",原初语,"22 (XP 41,000; PB +7)","传奇抗性（4/日） Legendary Resistance. 若天劫豁免失败，可以将其改为豁免成功。

攻城怪物 Siege Monster. 天劫对物件和建筑造成双倍伤害。

遁地 Earth Glide. 天劫可以掘穴穿过非魔法且未经加工的泥土及岩石。遁地期间，天劫不会破坏其穿过的任何材质。","多重攻击 Multiattack. 天劫发动两次元能爆发攻击。

元素爆破拳 Elemental Burst. 近战 或 远程攻击检定: +15，触及 30 尺或射程 150 尺。命中: 25（5d6 + 8）点伤害，伤害类型由天劫从下列选项中选择一种：强酸、寒冷、火焰、闪电、雷鸣。

大灾变(充能 4–6) Cataclysmic Event. 天劫从下列效应中随机制造一种（掷1d4）：

1: 焚天业火. 敏捷 豁免检定: DC 23，以150尺内天劫可见一点为中心，半径60尺球状区域内的每名生物。失败: 45（13d6）火焰伤害。成功:半伤。失败或成功: 目标开始燃烧。

2: 封冻寒潮. 力量 豁免检定: DC 23，90 尺锥状区域内的每名生物。失败: 22（5d8）钝击伤害外加22（5d8）寒冷伤害，且目标陷入倒地状态。成功: 仅半伤。失败或成功: 目标的速度降至0，直至其下个回合结束。

3: 呼啸飓风. 一道暴风云覆盖 60 尺半径的球状区域，以天劫可见的 150 尺内一点为中心。暴风云持续 1 分钟，或在天劫再次使用大灾变时提前结束。完全位于风暴云内的生物陷入目盲和耳聋状态且无法施展具有言语成分的法术。敏捷 豁免检定: DC 23，在某个回合中首次进入暴风云或是在其中开始回合的每名生物。失败: 18（4d8）闪电伤害外加18（4d8）雷鸣伤害。成功: 半伤。

4: 大地巨口. 力量 豁免检定: DC 23，以 150 尺内地面上一点为源点，90尺立方区域内的每名生物。失败: 18（4d8）钝击伤害外加18（4d8）强酸伤害，且目标陷入倒地状态并被碎石埋藏之中。被埋藏生物陷入束缚状态，具有全身掩护，并窒息。以一个动作，被埋藏生物或是其 5 尺内的另一名生物可以进行一次DC 18力量（运动）检定。检定成功则该生物不再被埋藏。成功: 仅半伤。

操控天气. 天劫施展法术操控天气，无需法术成分并使用体质作为施法属性。",,,"天灾爆发 Eruption. 天劫发动一次元能爆发攻击。

震地神行 Rumbling Movement. 天劫移动至多等于其速度、飞行速度或游泳速度的距离且不会引发借机攻击。在天劫移动过程中，位于天劫 5 尺内的每名生物都会被选为一次以下效应的目标。体质 豁免检定: DC 23。失败: 目标陷入倒地状态。失败或成功: 天劫直至其下个回合开始都无法再执行此动作。",,,,"位面, 元素混沌",
元素邪教徒,MM'25,87,小型 或 中型,类人,混乱 邪恶,16,135 (18d8 + 54),30 尺,18,12,16,14,18,12,"Con +6, Wis +7","奥秘 +5, 察觉 +7, 宗教 +5",,,,,被动察觉 17,"通用语, 原初语","8 (XP 3,900; PB +3)",,"多重攻击 Multiattack. 邪教徒使用元素链枷或元素巨爪共计三次攻击。

元素链枷 Elemental Flail. 近战攻击检定: +7，触及 5 尺。命中: 25（6d6 + 4）点伤害，伤害类型由邪教徒从下列选项中选择一种：强酸，寒冷，火焰，闪电或雷鸣。

元素巨爪 Elemental Claw. 远程攻击检定: +7，射程 120 尺。命中: 22（4d10）点伤害，伤害类型由邪教徒从下列选项中选择一种：强酸，寒冷，火焰，闪电或雷鸣。若目标生物体型不超过中型，则邪教徒将其直线拉近或推离至多 10 尺。

施法. 邪教徒施展以下一道法术，使用感知作为施法属性（法术豁免DC 15）：

随意: 四象法门, 法师之手",,元素吸收（1/日） Elemental Absorption. 触发: 邪教徒受到强酸、寒冷、火焰、闪电或雷鸣伤害。响应: 邪教徒对该次伤害具有抗性并获得 10 临时生命值。,,,,,任何,"个体, 圣物"
克拉肯,MM'25,187,超巨型,怪兽 (泰坦),混乱 邪恶,18,481 (26d20 + 208),"30 尺, 游泳 120 尺",30,11,26,22,18,20,"Str +17, Dex +7, Con +15, Wis +11","历史 +13, 察觉 +11",,,"寒冷, 闪电","受擒, 恐慌, 束缚, 麻痹","真实视觉 120 尺, 被动察觉 21","懂深渊语, 天界语, 炼狱语, 理解深渊语、天界语、炼狱语、原初语，但不会说；心灵感应120尺","23 (XP 50,000, 或 62,000在巢穴中时; PB +7)","传奇抗性（4/日，或巢穴内5/日） Legendary Resistance. 克拉肯豁免失败时，可以将其改为豁免成功。

攻城怪物 Siege Monster. 克拉肯对物件和建筑物造成双倍伤害。

水陆两栖 Amphibious. 克拉肯可以在空气和水中呼吸。","多重攻击 Multiattack. 克拉肯发动两次触须攻击，并使用抛投、闪电打击、吞咽三者之一。

触须 Tentacle. 近战攻击检定: +17，触及 30 尺。命中: 24（4d6 + 10）钝击伤害。目标被十条触须之一受擒（逃脱DC 20），且目标陷入束缚状态直至擒抱结束。

抛掷 Fling. 克拉肯将一名受擒于其的不超过大型的生物投至其 60 尺内一处其可见且不在空中的空间。敏捷 豁免检定:DC 25，被投出的生物以及目标空间内的每名生物。失败:18（4d8）钝击伤害，且目标陷入倒地状态。成功:仅半伤。

闪电打击 Lightning Strike. 敏捷 豁免检定: DC 23，单一 120 尺内克拉肯可见的生物。失败: 33（6d10）闪电伤害。成功: 半伤。

吞咽 Swallow. 敏捷 豁免检定: DC 25，单一正受受擒于克拉肯的生物（克拉肯同时能吞咽的生物数上限为四）。失败: 23（3d8 + 10）穿刺伤害。若目标体型不超过大型，克拉肯吞下目标，并结束其受受擒状态。被吞咽期间，目标陷入束缚状态，对克拉肯体外的攻击或其他效应而言处于全身掩护，并在每个克拉肯的回合开始时受到24（7d6）强酸伤害。

若一回合内克拉肯体内的一名生物对克拉肯造成至少 50 伤害，克拉肯在该回合结束时必须成功通过一次DC 25的体质豁免，否则将吐出那名生物，使其落在克拉肯 10 尺内的空间并陷入倒地状态。若克拉肯死亡，被吞咽生物不再被束缚并可以使用 15 尺移动力逃离尸体，以倒地状态脱离。",,,"风暴轰击 Storm Bolt. 克拉肯使用闪电打击。

剧毒墨云 Toxic Ink. 体质 豁免检定: DC 23，若克拉肯处于水下，源自克拉肯的 15 尺光环区域内的每名生物。失败: 目标陷入目盲和中毒状态，直至克拉肯的下个回合结束。然后克拉肯移动等于其速度的距离。失败或成功: 克拉肯直至其下个回合开始都无法再执行此动作。",,,"克拉肯巢穴所在的地区因其存在而扭曲，产生以下效果：

大洋暴君. 克拉肯在其领域内对动物施加支配力。所有位于巢穴1英里范围内的野兽在该区域内有魅惑状态。

瀚海与风暴之主. 在巢穴中，克拉肯可以施放操控天气，无需法术成分，并使用智力作为施法属性。

如果海怪死亡或将其巢穴移至别处，这些效果将立即结束。",水下,任何
