名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
克隆术,PHB'24,251,8环,1 小时,立即,死灵,触及,"声音, 姿势, 材料 (一枚价值 1000+GP 的钻石作为法术耗材。以及一副价值 2000+GP 的带密封功能的大容器，其尺寸必须足以存放一个要被克隆的生物)",法师 (PHB'24),,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你触碰一名被生物或其不小于 1 立方寸的血肉。在施展法术使用的容器中，一具该生物的无生命克隆体成形，你可以选择克隆体是和该生物同龄或是更年轻的版本。在容器未被外界影响时，其中的躯体会一直保持无意识的静止状态。这个克隆体在 120 日后成熟。

如果本体生物在克隆体成熟后死亡，则其灵魂转移到克隆体中，前提是该灵魂必须保持自由且愿意归来。克隆体的肉体特质与本体相同，并具有相同的个性、记忆和能力，但不具有本体的随身装备。由于灵魂已经转移到别处，该生物原本的遗体（如果依然存在）失去活力，且不能被复活。",
再生术,PHB'24,311,7环,1 分钟,1 小时,变化,触及,"声音, 姿势, 材料 (一个转经筒)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士",一名你触碰的生物恢复4d8 + 15点生命值。在持续时间内，目标在其每回合开始时恢复 1 点生命值，且其失去的任何身体部位都将在 2 分钟后重新长出。,
冰刃,PHB'24,287,1环,动作,立即,咒法,60 尺,"姿势, 材料 (一滴水或一块冰)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"凛冬行者 (FRHoF) 游侠, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你制造出一块冰晶裂片，并将它射向施法距离内的一个生物。你对目标进行一次远程法术攻击。若击中，目标受到1d10点穿刺伤害。无论击中与否，裂片都会在那之后立刻爆裂。攻击目标和其 5 尺范围内的每名生物都必须通过一次敏捷豁免检定，否则将受到2d6点寒冷伤害。,升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比一环高一环，寒冷伤害就增加1d6。
冰墙术,PHB'24,339,6环,动作,"专注, 至多10 分钟",塑能,120 尺,"声音, 姿势, 材料 (一块石英)",法师 (PHB'24),,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你在施法距离内一块坚实的地面上创造出一面冰墙。你可以将它塑成半球状或球状（半径最长 10 尺），也可以塑成一个由十个 10 尺 × 10 尺的方板块构成的平面。每块板块都必须要和至少一块其他板块相连。不管形状如何，冰墙总是厚 1 尺并持续存在至法术终止。

如果冰墙形成时穿过了某生物所占据的空间，则该生物会被推到冰墙的一侧（由你来决定是哪一侧）且必须进行一次敏捷豁免。豁免失败，受到10d6点寒冷伤害。豁免成功则受到半数伤害。

冰墙是一个可以被破坏的物件。冰墙的AC为 12，每段 10 尺长的冰墙有 30点生命值，而且冰墙具有寒冷、毒素和心灵伤害的免疫，以及火焰伤害的易伤。当一段 10 尺长的冰墙的生命值降至 0 时，这段冰墙就会被摧毁，但原地会留下一片冰冷刺骨的空气。

生物在一个回合内第一次通过这片寒气时，必须进行一次体质豁免，豁免失败受到5d6点寒冷伤害，豁免成功则受到半数伤害。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比六环高一环，冰墙产生时造成的伤害就提高2d6，穿越冰冷刺骨的空气造成的伤害就增加1d6。
冰风暴,PHB'24,287,4环,动作,立即,塑能,300 尺,"声音, 姿势, 材料 (一只连指手套)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"凛冬行者 (FRHoF) 游侠, 古贤 (PHB'24) 圣武士, 塑能师 (PHB'24) 法师, 大地 (极地) (PHB'24) 德鲁伊, 奥法骑士 (PHB'24) 战士, 奥法骑士 (PHB'14) 战士, 海洋 (PHB'24) 德鲁伊, 诡术师 (PHB'24) 游荡者, 诡术师 (PHB'14) 游荡者, 魔炮师 (EFA) 奇械师","以施法距离内一点为中心的一处半径 20 尺，高 40 尺的柱状区域内，岩石般坚硬的冰雹重重地砸向地面。每个处在柱状区域内的生物都必须进行一次敏捷豁免，豁免失败者将受到2d10点钝击伤害和4d6点寒冷伤害，豁免成功则受到半数伤害。

冰雹使柱状区域内的地面变为困难地形，直至你的下一回合结束。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比四环高一环，此法术的钝击伤害就增加1d10。
冷冻射线,PHB'24,311,戏法,动作,立即,塑能,60 尺,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (极地) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 海洋 (PHB'24) 德鲁伊, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",一道蓝白色的冰冷光束朝施法距离内的一名生物射去。对目标进行一次远程法术攻击。命中时，目标将受到1d8点寒冷伤害，且其速度速度将被减少 10 尺，直到你的下一回合开始为止。,戏法强化 Cantrip Upgrade. 到达特定等级后，此戏法的伤害将增加1d8：5 级（2d8）、11 级（3d8）、17 级（4d8）。
净化灵光,PHB'24,244,4环,动作,"专注, 至多10 分钟",防护,自身,声音,"圣武士 (PHB'24), 牧师 (PHB'24)",,"战地匠师 (EFA) 奇械师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士",一道灵光自你身上发出并形成 30 尺半径的光环区域。在灵光范围内时，你和你的盟友获得毒素伤害的抗性，并且在为抵抗和结束下列状态所做的豁免时具有优势：目盲、魅惑、耳聋、恐慌、麻痹、中毒或震慑。,
净化饮食,PHB'24,310,1环,动作,立即,变化 (仪式),10 尺,"声音, 姿势","圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",以施法距离内一点为中心，你移除半径5尺球状区域内非魔法食物与饮品中的毒素和腐败。,
剑刃护壁,PHB'24,247,6环,动作,"专注, 至多10 分钟",塑能,90 尺,"声音, 姿势",牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你创造出一面由旋转着的魔法能量剑刃组成的墙壁。墙壁在持续时间内在你的施法距离之内持续存在。你可以选择创造长不过100尺、高不过20尺、厚不过5尺的直墙；或是直径不过60尺、高不过20尺、厚不过5尺的环形墙。墙提供四分之三掩护，而墙体所占据的空间则视为困难地形。

所有处于墙所占据空间的生物必须进行一次敏捷豁免，豁免失败者受到6d10力场伤害，豁免成功则受到半数伤害。生物在进入墙所占据的空间或者在其中结束回合时也需要进行此豁免。一个生物每回合只会进行一次此豁免。",
剑刃防护,PHB'24,247,戏法,动作,"专注, 至多1 分钟",防护,自身,"声音, 姿势","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"三神门徒 (FRHoF) 游荡者, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师",在此法术结束前，每当有生物对你发动攻击检定，该生物的该次攻击检定都将承受1d4减值。,
力场墙,PHB'24,338,5环,动作,"专注, 至多10 分钟",塑能,120 尺,"声音, 姿势, 材料 (一片玻璃碎片)",法师 (PHB'24),,"塑能师 (PHB'24) 法师, 时械 (PHB'24) 术士, 装甲师 (EFA) 奇械师, 魔炮师 (EFA) 奇械师","一道隐形的力场墙出现在施法距离内你指定的一点上。这面力场墙的朝向由你决定：你可以使力场墙成为水平或垂直的结界，亦可以使它形成一定倾角。它可以浮在空中，也可以立于某个坚固表面其上。你可以将它塑成半球状或球状（半径最长 10 尺），也可以塑成一个由十个 10 尺 × 10 尺的方板块构成的平面，而每块板块都必须要和至少一块其他板块相连。不管形状如何，力场墙的厚度总是 1/4 寸。力场墙将持续存在至法术终止。如果力场墙形成时穿过了某个生物所占据的空间，则该生物会被推到力场墙的一侧（由你来决定是哪一侧）。

没有任何事物可以通过物理方式穿过力场墙。力场墙免疫所有伤害，也不能被解除魔法所解除，但法术解离术可以使其立即摧毁。力场墙能够延伸进以太位面，因此可以阻断进入以太位面穿过墙壁旅行。",
力场监牢,PHB'24,276,7环,动作,"专注, 至多1 小时",塑能,100 尺,"声音, 姿势, 材料 (价值 1500+GP 的红宝石尘，作为法术耗材)","吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","一个固定、隐形、由魔法力场构成的立方形监狱在你指定范围内的一处地点突然出现。你可以选择将监狱构筑为笼状或盒状。

笼状监牢为各边长至多 20 尺的立方体，其墙体由 1/2 寸粗的力场栅栏杆组成，每根杆子之间相距 1/2 寸。盒状监牢为各边长至多 10 尺的立方体，其墙体为由力场墙密封，并阻隔一切物质进出，也会阻挡任何从区域中向外界施展或从外界向区域中施展的法术。

施展该法术时，所有完全在法术区域内的生物将被牢笼困住。部分处于区域内或者体型比区域更大的生物则被从区域中心向外推开，直至其完全离开该区域。

牢笼内的生物不能以非魔法的手段离开。如果该生物试图使用传送或跨位面旅行来离开牢笼，则其必须先进行一次魅力豁免。豁免成功则该生物可以用该魔法离开牢笼。豁免失败者将无法以此离开牢笼并浪费掉该法术或效应。该牢笼同时延伸至以太位面从而屏蔽途经以太位面的旅行。

该法术不能被解除魔法解除。",
加速术,PHB'24,284,3环,动作,"专注, 至多1 分钟",变化,30 尺,"声音, 姿势, 材料 (一片甘草根切片)","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"复仇 (PHB'24) 圣武士, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 荣耀 (PHB'24) 圣武士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","指定施法距离内一个你能看见的自愿生物。直至法术终止前，目标速度翻倍；其护甲等级获得 +2 加值；其进行敏捷豁免时具有优势；其每个回合都可作出一个额外的动作，但该动作只能用于执行攻击（仅一次攻击），或者疾走、撤离、躲藏和操作动作。

法术终止时，目标将泛起一阵倦意使其失能并且速度为 0，持续至其下一回合结束。",
动植物定位术,PHB'24,292,2环,动作,立即,预言 (仪式),自身,"声音, 姿势, 材料 (一块寻血猎犬的皮毛)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 游侠 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你点名或描述一种特定的野兽生物、植物 生物或非魔法植物。如果 5 里内存在该类生物或植物，你将知晓其中最近的个体与你的相对方位和距离。,
动物交谈,PHB'24,318,1环,动作,10 分钟,预言 (仪式),自身,"声音, 姿势","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 游侠 (PHB'24), 魔契师 (PHB'24)",,"兽心 (PHB'24) 野蛮人, 古贤 (PHB'24) 圣武士, 逸闻 (PHB'24) 吟游诗人, 逸闻 (PHB'14) 吟游诗人","你在法术持续时间内获得理解野兽生物并用语言与其沟通的能力，并且你可以对它们使用影响动作时任何技能选项都可以适用。

大多数野兽在谈及和生存与伙伴无关的话题时能说的很少，但至少，一只野兽能够给你提供周遭的地点和怪物的情报，包括任何它们近一日内察觉到过的东西。",
动物信使,PHB'24,240,2环,动作,24 小时,惑控 (仪式),30 尺,"声音, 姿势, 材料 (少量食物)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 游侠 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","指定一只在施法距离内你能看见的微型野兽。该生物必须成功通过一次魅力豁免，否则它会为你传递一则消息（如果该生物的挑战等级不是0，则豁免自动成功）。你选择一个你曾造访过的地点，然后描述收信人的基本信息，如""一个穿着城镇守卫制服的男人或女人""或""一个戴着尖顶帽子的红发矮人""。你还需要说出一段不超过二十五个字的信息。目标野兽将会在法术持续时间内前往你选定的地点。会飞的信使 24 小时内可移动 50 里，不会飞的信使只能移动 25 里。

野兽抵达目的地后，会模仿你的声音把信息传递给你描述的人。信使只会把信息传递给符合你描述的人。如果法术持续时间内信使未能抵达目的地则信息将遗失，而曾作为信使的野兽将自行寻路返回你施法的地点。",升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比2环高一环，其法术持续时间就增加 48 小时。
动物形态,PHB'24,240,8环,动作,24 小时,变化,30 尺,"声音, 姿势",德鲁伊 (PHB'24),,,"选择施法距离内任意数量的自愿生物。每个目标都变形为一只挑战等级不超过 4，体型不大于大型的野兽。你可以将每个目标变为不同的形态。在法术持续时间内之后的回合中，你可以使用一个魔法动作将这些目标再度变形。

生物的游戏数据被选择的野兽资料卡替换，但目标保留其生物类型、生命值、生命值骰、阵营、交流的能力以及智力、感知和魅力能力值。目标的动作受到新形态身体结构的限制，并且无法施法。目标的装备会融入其新形态，而且处于此形态时无法使用任何装备。

目标获得临时生命值（等于其变形的首个形态的生命值）。法术结束时目标失去所有因此法术获得的临时生命值。该形态持续至持续时间结束，目标也能以一个附赠动作结束此法术。",
匕首之云,PHB'24,251,2环,动作,"专注, 至多1 分钟",咒法,60 尺,"声音, 姿势, 材料 (一小片玻璃)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你指定施法距离内一点，在以该点为中心的 5 尺立方区域内咒唤出旋转的匕首。区域内的每名生物受到4d4点挥砍伤害。一名生物进入该立方，或是在该区域结束其回合，又或是该立方移动到其占据的空间时，该生物同样会受到此伤害。一名生物每回合只会受到一次该伤害。

在你后续的回合中，你能够以一个魔法动作将立方区域传送至多 30 尺。",升环施法 Using a Higher-Level Spell Slot. 用的法术位每比二环高一环，此法术的伤害就增加2d4。
化兽为友,PHB'24,239,1环,动作,24 小时,惑控,30 尺,"声音, 姿势, 材料 (少量食物)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 游侠 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",在施法距离内指定一只你能看见的野兽。该野兽必须通过一次感知豁免，否则将在法术持续时间内被你魅惑。如果你或你的盟友对目标造成伤害，则法术终止。,升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比一环高一环，就可以多选择一个野兽作为目标。
